"Variable";"Stats";"Para";"m0";"m1";"m2"
"Intercept";"mean";"Full";"1.345";"1.288";"-2.848"
"Intercept";"sd";"Full";;;
"T2E_ZS";"mean";"Full";"-0.044";"-0.072";
"T2E_ZS";"sd";"Full";;;
"PEM-1";"mean";"Full";"1.267";"0.862";"1.139"
"PEM-1";"sd";"Full";;;
"HYS";"mean";"Full";"-2.731";"-6.513";"-4.29"
"HYS";"sd";"Full";;;
"Shape";"mean";"Full";;"1.282";
"Shape";"sd";"Full";;;
"AIC";"mean";"Full";"1758.314";"2589.13";"1758.314"
"AIC";"sd";"Full";;;
"Intercept";"mean";"IO";"1.265";"0.768";"-2.693"
"Intercept";"sd";"IO";;;
"Shape";"mean";"IO";;"1.241";
"Shape";"sd";"IO";;;
"AIC";"mean";"IO";"1787.811";"2617.429";"1787.811"
"AIC";"sd";"IO";;;
