"","independent","t.copula","bottom.left","bottom.right","top.left","top.right"
"mean",1.473,1.789,2.02,2.687,1.927,2.007
"sd",1.54,3.73,2.204,4.953,2.092,2.812
"Pr(x<=0)",0,0,0,0,0,0
"min",0,0.009,0.081,0,0.012,0
"5%",0.047,0.117,0.211,0.074,0.1,0.013
"10%",0.184,0.275,0.379,0.225,0.189,0.092
"25%",0.521,0.464,0.597,0.733,0.535,0.599
"50%",1.022,0.978,1.265,1.148,1.261,1.323
"75%",1.954,1.887,2.9,2.973,2.432,1.815
"90%",2.963,3.153,4.302,4.64,4.961,4.096
"95%",3.512,3.778,7.183,8.912,6.085,8.298
"max",9.518,26.481,9.79,33.245,10.034,14.908
"n",50,50,50,50,50,50
"NAs",0,0,0,0,0,0
"Infs",0,0,0,0,0,0
