"Variable";"Stats";"Para";"m0";"m1";"m2"
"Intercept";"mean";"Full";"0.714";"0.64";"-2.187"
"Intercept";"sd";"Full";;;
"T2E_ZS";"mean";"Full";"-0.043";"-0.083";
"T2E_ZS";"sd";"Full";;;
"PEM-1";"mean";"Full";"0.785";"0.983";"1"
"PEM-1";"sd";"Full";;;
"HYS";"mean";"Full";"-6.036";"-1.265";"-9.798"
"HYS";"sd";"Full";;;
"Shape";"mean";"Full";;"0.828";
"Shape";"sd";"Full";;;
"AIC";"mean";"Full";"3766.162";"2837.065";"3766.162"
"AIC";"sd";"Full";;;
"Intercept";"mean";"IO";"0.315";"0.391";"-2.391"
"Intercept";"sd";"IO";;;
"Shape";"mean";"IO";;"0.77";
"Shape";"sd";"IO";;;
"AIC";"mean";"IO";"3815.737";"2883.124";"3815.737"
"AIC";"sd";"IO";;;
